date,UPS.Adjusted
2017-01-03,115.519996643066
2017-01-04,115.300003051758
2017-01-05,115
2017-01-06,115
2017-01-09,115
2017-01-10,114.629997253418
2017-01-11,113.639999389648
2017-01-12,114.209999084473
2017-01-13,114.199996948242
2017-01-17,113.690002441406
2017-01-18,114.370002746582
2017-01-19,114.970001220703
2017-01-20,114.440002441406
2017-01-23,114.98999786377
2017-01-24,114.599998474121
2017-01-25,116.230003356934
2017-01-26,116.970001220703
2017-01-27,117
2017-01-30,117.910003662109
2017-01-31,111.809997558594
2017-02-01,107.790000915527
2017-02-02,105.290000915527
2017-02-03,105.699996948242
2017-02-06,106.620002746582
2017-02-07,106.379997253418
2017-02-08,105.809997558594
2017-02-09,106.160003662109
2017-02-10,106.5
2017-02-13,107.660003662109
2017-02-14,108.680000305176
2017-02-15,108.870002746582
2017-02-16,108.099998474121
2017-02-17,106.959999084473
2017-02-21,106.900001525879
2017-02-22,105.440002441406
2017-02-23,106
2017-02-24,104.860000610352
2017-02-27,106.139999389648
2017-02-28,106.680000305176
2017-03-01,106.970001220703
2017-03-02,106.98999786377
2017-03-03,106.129997253418
2017-03-06,105.519996643066
2017-03-07,106
2017-03-08,105.639999389648
2017-03-09,106.129997253418
2017-03-10,106.269996643066
2017-03-13,106.529998779297
2017-03-14,107.190002441406
2017-03-15,107.290000915527
2017-03-16,107.800003051758
2017-03-17,107.910003662109
2017-03-20,108.050003051758
2017-03-21,107.51000213623
2017-03-22,106.959999084473
2017-03-23,106.529998779297
2017-03-24,105.690002441406
2017-03-27,104.480003356934
2017-03-28,104.720001220703
2017-03-29,105.650001525879
2017-03-30,105.809997558594
2017-03-31,106.480003356934
2017-04-03,107.660003662109
2017-04-04,106.300003051758
2017-04-05,106.940002441406
2017-04-06,106.769996643066
2017-04-07,106.309997558594
2017-04-10,105.449996948242
2017-04-11,106.150001525879
2017-04-12,105.059997558594
2017-04-13,104.180000305176
2017-04-17,104.059997558594
2017-04-18,104.519996643066
2017-04-19,104.580001831055
2017-04-20,104.75
2017-04-21,105.709999084473
2017-04-24,106.75
2017-04-25,107.089996337891
2017-04-26,107.230003356934
2017-04-27,107.800003051758
2017-04-28,109
2017-05-01,107.419998168945
2017-05-02,106.610000610352
2017-05-03,106.889999389648
2017-05-04,107.410003662109
2017-05-05,107.319999694824
2017-05-08,107.360000610352
2017-05-09,107.559997558594
2017-05-10,106.069999694824
2017-05-11,104.129997253418
2017-05-12,103.800003051758
2017-05-15,104.550003051758
2017-05-16,105.290000915527
2017-05-17,104.5
2017-05-18,102.940002441406
2017-05-19,103.23999786377
2017-05-22,103.349998474121
2017-05-23,103.669998168945
2017-05-24,103.819999694824
2017-05-25,105.180000305176
2017-05-26,105.809997558594
2017-05-30,105.51000213623
2017-05-31,107.099998474121
2017-06-01,106.48999786377
2017-06-02,107.73999786377
2017-06-05,107.48999786377
2017-06-06,107.830001831055
2017-06-07,107.410003662109
2017-06-08,106.680000305176
2017-06-09,106.51000213623
2017-06-12,107.029998779297
2017-06-13,109.059997558594
2017-06-14,109.930000305176
2017-06-15,108.819999694824
2017-06-16,110.559997558594
2017-06-19,110.790000915527
2017-06-20,110.849998474121
2017-06-21,109.819999694824
2017-06-22,108.76000213623
2017-06-23,109.220001220703
2017-06-26,110.660003662109
2017-06-27,110.720001220703
2017-06-28,110.389999389648
2017-06-29,109.720001220703
2017-06-30,110.209999084473
2017-07-03,110.900001525879
2017-07-05,110.569999694824
2017-07-06,110.110000610352
2017-07-07,109.440002441406
2017-07-10,110.089996337891
2017-07-11,110.25
2017-07-12,110.629997253418
2017-07-13,110.419998168945
2017-07-14,111.029998779297
2017-07-17,111.879997253418
2017-07-18,111.959999084473
2017-07-19,111.720001220703
2017-07-20,113.209999084473
2017-07-21,112.349998474121
2017-07-24,112.480003356934
2017-07-25,112.830001831055
2017-07-26,113.540000915527
2017-07-27,111
2017-07-28,108.379997253418
2017-07-31,110.040000915527
2017-08-01,110.800003051758
2017-08-02,109.870002746582
2017-08-03,110.970001220703
2017-08-04,111.620002746582
2017-08-07,112
2017-08-08,113
2017-08-09,111.970001220703
2017-08-10,111.540000915527
2017-08-11,111.48999786377
2017-08-14,112.180000305176
2017-08-15,113.680000305176
2017-08-16,114.269996643066
2017-08-17,114.599998474121
2017-08-18,112.930000305176
2017-08-21,113.339996337891
2017-08-22,114
2017-08-23,114.120002746582
2017-08-24,113.839996337891
2017-08-25,113.73999786377
2017-08-28,113.790000915527
2017-08-29,113.550003051758
2017-08-30,114.879997253418
2017-08-31,115.470001220703
2017-09-01,114.720001220703
2017-09-05,114.110000610352
2017-09-06,114.25
2017-09-07,113.879997253418
2017-09-08,114.610000610352
2017-09-11,115.5
2017-09-12,116.230003356934
2017-09-13,116.839996337891
2017-09-14,116.699996948242
2017-09-15,117.360000610352
2017-09-18,117.930000305176
2017-09-19,117.589996337891
2017-09-20,116.959999084473
2017-09-21,117.830001831055
2017-09-22,117.389999389648
2017-09-25,118.069999694824
2017-09-26,118.019996643066
2017-09-27,118.690002441406
2017-09-28,118.559997558594
2017-09-29,119.559997558594
2017-10-02,120
2017-10-03,120.330001831055
2017-10-04,119.51000213623
2017-10-05,116.779998779297
2017-10-06,117.98999786377
2017-10-09,118.139999389648
2017-10-10,117.629997253418
2017-10-11,118.120002746582
2017-10-12,118.800003051758
2017-10-13,120.040000915527
2017-10-16,118.610000610352
2017-10-17,118
2017-10-18,117.410003662109
2017-10-19,117.680000305176
2017-10-20,119.589996337891
2017-10-23,120.23999786377
2017-10-24,120.180000305176
