Trade Type ,Mode ,Year,Measure Names,Measure Values
Import,Pipeline,2017,Tons (millions),208.712558313
Import,Rail,2021,Tons (millions),102.930665702
Import,Rail,2020,Tons (millions),96.9229071
Import,Rail,2019,Tons (millions),108.060685806
Import,Rail,2018,Tons (millions),108.897659786
Import,Rail,2017,Tons (millions),106.895681119
Import,Truck,2021,Tons (millions),128.844292732
Import,Truck,2020,Tons (millions),119.061968968
Import,Truck,2019,Tons (millions),112.314731073
Import,Truck,2018,Tons (millions),112.236456255
Import,Truck,2017,Tons (millions),109.735355018
Import,Water,2021,Tons (millions),146.846328559
Import,Water,2020,Tons (millions),172.101536874
Import,Water,2019,Tons (millions),204.544210272
Import,Water,2018,Tons (millions),268.33829427
Import,Water,2017,Tons (millions),301.338114019
