Mode,Measure Names,Year,Trade Type ,Measure Values
Multiple Dms Modes and Mail,Value (billions of 2017 $),2021,Import,1089.620637574
Air (includes truck-air),Value (billions of 2017 $),2021,Import,665.000301179
Water,Value (billions of 2017 $),2021,Import,71.724469253
Rail,Value (billions of 2017 $),2021,Import,103.682202429
Truck,Value (billions of 2017 $),2021,Import,389.71611608
Other and Unknown,Value (billions of 2017 $),2021,Export,19.066818428
Pipeline,Value (billions of 2017 $),2021,Export,17.058072421
Multiple Dms Modes and Mail,Value (billions of 2017 $),2021,Export,513.316590479
Air (includes truck-air),Value (billions of 2017 $),2021,Export,504.268622668
Water,Value (billions of 2017 $),2021,Export,41.455436338
Rail,Value (billions of 2017 $),2021,Export,56.310407409
Truck,Value (billions of 2017 $),2021,Export,359.284750482
Other and Unknown,Value (billions of 2017 $),2021,Domestic,1.650998822
Pipeline,Value (billions of 2017 $),2021,Domestic,873.270136463
Multiple Dms Modes and Mail,Value (billions of 2017 $),2021,Domestic,2319.717955092
Air (includes truck-air),Value (billions of 2017 $),2021,Domestic,149.161735778
Water,Value (billions of 2017 $),2021,Domestic,169.751016229
Rail,Value (billions of 2017 $),2021,Domestic,211.183762514
Truck,Value (billions of 2017 $),2021,Domestic,10892.95930075
