Mode,Year,Measure,Region,Value
Other,2021,Value of freight flows (millions of dollars),Asia,76809
Other,2020,Value of freight flows (millions of dollars),Asia,69722
Other,2019,Value of freight flows (millions of dollars),Asia,93344
Other,2018,Value of freight flows (millions of dollars),Asia,106116
Other,2017,Value of freight flows (millions of dollars),Asia,105265
Other,2016,Value of freight flows (millions of dollars),Asia,101535
Other,2015,Value of freight flows (millions of dollars),Asia,105553
Other,2014,Value of freight flows (millions of dollars),Asia,96286
Other,2013,Value of freight flows (millions of dollars),Asia,85306
Other,2012,Value of freight flows (millions of dollars),Asia,74005
Other,2011,Value of freight flows (millions of dollars),Asia,56327
Other,2010,Value of freight flows (millions of dollars),Asia,54987
Other,2009,Value of freight flows (millions of dollars),Asia,47195
Other,2008,Value of freight flows (millions of dollars),Asia,50258
Other,2007,Value of freight flows (millions of dollars),Asia,50667
Other,2006,Value of freight flows (millions of dollars),Asia,45076
