Year,Mode,Measure,Trade Type,Value
2019,"Total, all modes",Billions of U.S. Dollars,Imports,2491.699567726
2019,Rail,Billions of U.S. Dollars,Imports,116.449761908
2019,Pipeline,Billions of U.S. Dollars,Imports,58.357765926
2019,Other/unknown,Billions of U.S. Dollars,Imports,118.59116468
2019,Air,Billions of U.S. Dollars,Imports,671.500541253
2019,Water,Billions of U.S. Dollars,Exports,586.859637092
2019,Truck,Billions of U.S. Dollars,Exports,360.832264842
2019,"Total, all modes",Billions of U.S. Dollars,Exports,1645.940338649
2019,Rail,Billions of U.S. Dollars,Exports,62.118970208
2019,Pipeline,Billions of U.S. Dollars,Exports,14.052141836
2019,Other/unknown,Billions of U.S. Dollars,Exports,123.577067666
2019,Air,Billions of U.S. Dollars,Exports,498.500257005
2019,Water,Millions of Short Tons,Total trade,1546.843848771
2019,Truck,Millions of Short Tons,Total trade,226.170915410
2019,"Total, all modes",Millions of Short Tons,Total trade,2224.016861082
2019,Rail,Millions of Short Tons,Total trade,188.178215761
2019,Pipeline,Millions of Short Tons,Total trade,230.232472112
2019,Other/unknown,Millions of Short Tons,Total trade,23.851683782
2019,Air,Millions of Short Tons,Total trade,8.739725246
2019,Water,Millions of Short Tons,Imports,671.792448492
2019,Truck,Millions of Short Tons,Imports,113.602004146
2019,"Total, all modes",Millions of Short Tons,Imports,1084.289606511
2019,Rail,Millions of Short Tons,Imports,107.761116789
2019,Pipeline,Millions of Short Tons,Imports,180.326108643
2019,Other/unknown,Millions of Short Tons,Imports,5.657146536
2019,Air,Millions of Short Tons,Imports,5.150781906
2019,Water,Millions of Short Tons,Exports,875.051400278
2019,Truck,Millions of Short Tons,Exports,
2019,"Total, all modes",Millions of Short Tons,Exports,1139.727254571
2019,Rail,Millions of Short Tons,Exports,
2019,Pipeline,Millions of Short Tons,Exports,
2019,Other/unknown,Millions of Short Tons,Exports,
2019,Air,Millions of Short Tons,Exports,3.588943340
2020,Water,Billions of U.S. Dollars,Total trade,1506.016595089
2020,Truck,Billions of U.S. Dollars,Total trade,694.693309634
2020,"Total, all modes",Billions of U.S. Dollars,Total trade,3759.354671473
2020,Rail,Billions of U.S. Dollars,Total trade,148.418611708
2020,Pipeline,Billions of U.S. Dollars,Total trade,53.112729713
2020,Other/unknown,Billions of U.S. Dollars,Total trade,195.814772466
2020,Air,Billions of U.S. Dollars,Total trade,1161.298652863
2020,Water,Billions of U.S. Dollars,Imports,995.133844146
2020,Truck,Billions of U.S. Dollars,Imports,378.769714777
2020,"Total, all modes",Billions of U.S. Dollars,Imports,2330.836392063
